problemid,modelid,refineryruntime,aspruntime,modelsize,numberofnodes,numberofnetworkuse,reliability
kafka_size3,0,,,,,,
kafka_size3,1,,,,,,
kafka_size3,2,,,,,,
kafka_size3,3,,,,,,
kafka_size3,4,,,,,,
kafka_size3,5,,,,,,
kafka_size3,6,,,,,,
kafka_size3,7,,,,,,
kafka_size3,8,,,,,,
kafka_size3,9,,,,,,
kafka_size3,10,41234,0.013,41,20,194,2
kafka_size3,11,94576,0.015,47,22,272,2
kafka_size3,12,,,,,,
kafka_size3,13,,,,,,
kafka_size3,14,,,,,,
kafka_size3,15,,,,,,
kafka_size3,16,,,,,,
kafka_size3,17,,,,,,
kafka_size3,18,,,,,,
kafka_size3,19,,,,,,
kafka_size3,20,,,,,,
kafka_size3,21,,,,,,
kafka_size3,22,,,,,,
kafka_size3,23,,,,,,
kafka_size3,24,,,,,,
kafka_size3,25,,,,,,
kafka_size3,26,,,,,,
kafka_size3,27,,,,,,
kafka_size3,28,,,,,,
kafka_size3,29,,,,,,
