problemid,modelid,refineryruntime,aspruntime,modelsize,numberofnodes,numberofnetworkuse,reliability
kafka_size1,0,,,,,,
kafka_size1,1,5970,0.005,24,10,48,1
kafka_size1,2,238913,0.004,24,9,34,1
kafka_size1,3,,,,,,
kafka_size1,4,16465,0.004,24,11,74,1
kafka_size1,5,36090,0.004,19,6,22,1
kafka_size1,6,,,,,,
kafka_size1,7,205070,0.004,24,10,58,1
kafka_size1,8,,,,,,
kafka_size1,9,,,,,,
kafka_size1,10,,,,,,
kafka_size1,11,,,,,,
kafka_size1,12,37569,0.005,24,10,56,2
kafka_size1,13,,,,,,
kafka_size1,14,,,,,,
kafka_size1,15,10848,0.021,24,10,60,1
kafka_size1,16,24432,0.004,24,10,48,1
kafka_size1,17,,,,,,
kafka_size1,18,,,,,,
kafka_size1,19,,,,,,
kafka_size1,20,,,,,,
kafka_size1,21,,,,,,
kafka_size1,22,,,,,,
kafka_size1,23,295836,0.011,24,9,48,1
kafka_size1,24,,,,,,
kafka_size1,25,,,,,,
kafka_size1,26,,,,,,
kafka_size1,27,,,,,,
kafka_size1,28,,,,,,
kafka_size1,29,,,,,,
