problemid,modelid,refineryruntime,aspruntime,modelsize,numberofnodes,numberofnetworkuse,reliability
raft_size3,0,,,,,,
raft_size3,1,3519,0.009,29,8,32,2
raft_size3,2,13391,0.012,34,11,66,2
raft_size3,3,,,,,,
raft_size3,4,26653,0.01,34,11,64,2
raft_size3,5,7616,0.014,34,11,78,2
raft_size3,6,,,,,,
raft_size3,7,,,,,,
raft_size3,8,47391,0.009,34,11,82,2
raft_size3,9,5315,0.01,29,8,32,1
raft_size3,10,,,,,,
raft_size3,11,18408,0.012,31,10,52,2
raft_size3,12,,,,,,
raft_size3,13,6711,0.013,32,10,64,2
raft_size3,14,53467,0.009,34,12,70,1
raft_size3,15,35196,0.015,34,10,62,2
raft_size3,16,181363,0.009,34,11,66,2
raft_size3,17,249668,0.01,34,10,60,2
raft_size3,18,,,,,,
raft_size3,19,,,,,,
raft_size3,20,8247,0.012,34,11,76,2
raft_size3,21,,,,,,
raft_size3,22,,,,,,
raft_size3,23,12235,0.013,33,12,72,1
raft_size3,24,8354,0.012,31,10,44,2
raft_size3,25,,,,,,
raft_size3,26,46544,0.009,34,11,62,2
raft_size3,27,35157,0.028,34,10,58,1
raft_size3,28,89409,0.011,34,11,50,1
raft_size3,29,,,,,,
